class_string,class_code,family_string,family_code
"methylation class plexus tumor, subclass paediatric A","PLEX, PED A ",methylation class family plexus tumor,MCF PLEX T
"methylation class plexus tumor, subclass paediatric B","PLEX, PED B",methylation class family plexus tumor,MCF PLEX T
"methylation class IDH glioma, subclass astrocytoma",A IDH,"methylation class family glioma, IDH mutant",MCF IDH GLM
"methylation class IDH glioma, subclass high grade astrocytoma ","A IDH, HG","methylation class family glioma, IDH mutant",MCF IDH GLM
"methylation class IDH glioma, subclass 1p/19q codeleted oligodendroglioma",O IDH,"methylation class family glioma, IDH mutant",MCF IDH GLM
methylation class pineal parenchymal tumor ,"PIN T, PPT", , 
"methylation class low grade glioma, ganglioglioma","LGG, GG", , 
methylation class pituicytoma / granular cell tumor / spindle cell oncocytoma,"PITUI, SCO, GCT", , 
"methylation class low grade glioma, subclass hemispheric pilocytic astrocytoma and ganglioglioma","LGG, PA/GG ST",methylation class family pilocytic astrocytoma,MCF PA
methylation class (anaplastic) pleomorphic xanthoastrocytoma,PXA, , 
methylation class meningioma,MNG, , 
"methylation class ependymoma, myxopapillary","EPN, MPE", , 
"methylation class subependymoma, posterior fossa","SUBEPN, PF", , 
"methylation class subependymoma, spinal","SUBEPN, SPINE", , 
"methylation class subependymoma, supratentorial","SUBEPN, ST", , 
methylation class pineoblastoma group A / intracranial retinoblastoma,"PIN T,  PB A", , 
"methylation class low grade glioma, MYB/MYBL1","LGG, MYB", , 
methylation class CNS high grade neuroepithelial tumor with BCOR alteration,"HGNET, BCOR", , 
methylation class anaplastic pilocytic astrocytoma,ANA PA, , 
methylation class CNS high grade neuroepithelial tumor with MN1 alteration,"HGNET, MN1", , 
methylation class infantile hemispheric glioma,IHG, , 
methylation class CNS Ewing sarcoma family tumor with CIC alteration,"EFT, CIC", , 
"methylation class control tissue, pituitary gland anterior lobe","CONTR, ADENOPIT", , 
"methylation class control tissue, cerebellar hemisphere","CONTR, CEBM", , 
"methylation class control tissue, hemispheric cortex","CONTR, HEMI", , 
"methylation class control tissue, hypothalamus","CONTR, HYPTHAL", , 
"methylation class control tissue, inflammatory tumor microenvironment","CONTR, INFLAM", , 
"methylation class control tissue, pineal gland","CONTR, PINEAL", , 
"methylation class control tissue, pons","CONTR, PONS", , 
"methylation class control tissue, reactive tumor microenvironment ","CONTR, REACT", , 
"methylation class control tissue, white matter","CONTR, WM", , 
